id,psar_1m,supertrend_1m,psar_5m,supertrend_5m,psar_15m,supertrend_15m,buy,sell
TRUE_TRUE_TRUE_TRUE_TRUE_TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,keltner_low_1m,keltner_high_1m
TRUE_TRUE_TRUE_TRUE_FALSE_TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,keltner_low_15m,keltner_middle_15m
TRUE_TRUE_TRUE_FALSE_TRUE_TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,keltner_low_5m,keltner_middle_5m
TRUE_TRUE_TRUE_FALSE_FALSE_TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,—,keltner_middle_15m
TRUE_TRUE_FALSE_TRUE_TRUE_TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,keltner_low_5m,keltner_high_5m
TRUE_TRUE_FALSE_TRUE_FALSE_TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,keltner_low_15m,keltner_middle_15m
TRUE_TRUE_FALSE_FALSE_TRUE_TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,keltner_low_15m,keltner_middle_15m
TRUE_TRUE_FALSE_FALSE_FALSE_TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,—,keltner_middle_15m
TRUE_FALSE_TRUE_TRUE_TRUE_TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,keltner_middle_5m,keltner_high_5m
TRUE_FALSE_TRUE_TRUE_FALSE_TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,keltner_low_15m,keltner_middle_15m
TRUE_FALSE_TRUE_FALSE_TRUE_TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,keltner_low_5m,keltner_middle_5m
TRUE_FALSE_TRUE_FALSE_FALSE_TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,—,keltner_middle_15m
TRUE_FALSE_FALSE_TRUE_TRUE_TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,keltner_low_5m,keltner_high_5m
TRUE_FALSE_FALSE_TRUE_FALSE_TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,keltner_low_15m,keltner_middle_15m
TRUE_FALSE_FALSE_FALSE_TRUE_TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,keltner_low_15m,keltner_middle_15m
TRUE_FALSE_FALSE_FALSE_FALSE_TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,—,keltner_middle_15m
FALSE_TRUE_TRUE_TRUE_TRUE_TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,keltner_low_1m,keltner_high_1m
FALSE_TRUE_TRUE_TRUE_FALSE_TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,keltner_low_15m,keltner_middle_15m
FALSE_TRUE_TRUE_FALSE_TRUE_TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,keltner_low_5m,keltner_middle_5m
FALSE_TRUE_TRUE_FALSE_FALSE_TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,—,keltner_middle_15m
FALSE_TRUE_FALSE_TRUE_TRUE_TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,keltner_low_5m,keltner_high_5m
