pair,starttime,endtime,interval,0.01,0.02,start,end
bttc/usdt,2022-01-25 04:00:00,2023-01-01 00:00:00,"340 days, 20:00:00",412804,59033,2023-01-26 21:05:03,2023-01-26 21:05:04
slp/usdt,2021-04-30 12:00:00,2023-01-01 00:00:00,"610 days, 12:00:00",255548,40655,2023-01-26 21:05:05,2023-01-26 21:11:34
cocos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",154526,31559,2023-01-26 21:05:14,2023-01-26 21:11:04
gto/usdt,2021-01-01 00:00:00,2022-11-28 02:59:00,"696 days, 2:59:00",120370,31028,2023-01-26 21:05:24,2023-01-26 21:05:26
mith/usdt,2021-01-01 00:00:00,2022-12-22 08:59:00,"720 days, 8:59:00",138179,30759,2023-01-26 21:05:27,2023-01-26 21:05:29
ctxc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103724,28587,2023-01-26 21:05:30,2023-01-26 21:13:06
og/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",109471,27301,2023-01-26 21:05:34,2023-01-26 21:11:15
mbl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",108563,26675,2023-01-26 21:05:44,2023-01-26 21:11:33
btcst/usdt,2021-01-13 06:00:00,2022-11-28 02:59:00,"683 days, 20:59:00",117459,26535,2023-01-26 21:11:07,2023-01-26 21:11:08
burger/usdt,2021-04-30 12:00:00,2023-01-01 00:00:00,"610 days, 12:00:00",100322,26345,2023-01-26 21:11:09,2023-01-26 21:17:01
doge/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101665,25943,2023-01-26 21:11:18,2023-01-26 21:16:58
vtho/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",126219,24950,2023-01-26 21:11:37,2023-01-26 21:17:18
key/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",124536,24793,2023-01-26 21:13:09,2023-01-26 21:19:28
atm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91416,24676,2023-01-26 21:17:01,2023-01-26 21:24:38
anc/usdt,2022-01-25 11:00:00,2022-12-27 02:59:00,"335 days, 15:59:00",67511,24572,2023-01-26 21:17:04,2023-01-26 21:17:05
troy/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",117691,23136,2023-01-26 21:17:06,2023-01-26 21:22:41
asr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92514,23018,2023-01-26 21:17:11,2023-01-26 21:22:53
dent/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",129348,22616,2023-01-26 21:17:21,2023-01-26 21:23:19
wing/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",99449,22530,2023-01-26 21:19:31,2023-01-26 21:26:08
drep/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103878,22411,2023-01-26 21:22:44,2023-01-26 21:28:30
vite/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",98431,22286,2023-01-26 21:22:56,2023-01-26 21:28:24
tct/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",103703,21772,2023-01-26 21:23:22,2023-01-26 21:23:24
ftm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",144658,21634,2023-01-26 21:23:25,2023-01-26 21:29:13
dego/usdt,2021-03-10 11:00:00,2023-01-01 00:00:00,"661 days, 13:00:00",107014,21579,2023-01-26 21:24:41,2023-01-26 21:30:12
wrx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",112771,21511,2023-01-26 21:26:11,2023-01-26 21:32:06
mdt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",100249,21347,2023-01-26 21:28:27,2023-01-26 21:34:40
dnt/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",75679,21345,2023-01-26 21:28:33,2023-01-26 21:28:34
hot/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",114504,20876,2023-01-26 21:28:35,2023-01-26 21:34:41
ctsi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",122395,20740,2023-01-26 21:29:17,2023-01-26 21:35:06
juv/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79723,20577,2023-01-26 21:30:15,2023-01-26 21:35:48
acm/usdt,2021-02-24 11:00:00,2023-01-01 00:00:00,"675 days, 13:00:00",77399,20365,2023-01-26 21:32:09,2023-01-26 21:39:08
xvs/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",111045,20129,2023-01-26 21:34:44,2023-01-26 21:40:20
tlm/usdt,2021-04-13 06:00:00,2023-01-01 00:00:00,"627 days, 18:00:00",134095,19824,2023-01-26 21:35:09,2023-01-26 21:41:08
stpt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92310,19765,2023-01-26 21:35:51,2023-01-26 21:42:15
vidt/usdt,2021-09-09 08:00:00,2023-01-01 00:00:00,"478 days, 16:00:00",59064,19374,2023-01-26 21:39:11,2023-01-26 21:45:56
hive/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84481,19267,2023-01-26 21:40:07,2023-01-26 21:46:15
gxs/usdt,2021-01-01 00:00:00,2022-04-25 03:59:00,"479 days, 3:59:00",80691,19128,2023-01-26 21:40:23,2023-01-26 21:40:25
vgx/usdt,2021-11-22 07:00:00,2023-01-01 00:00:00,"404 days, 17:00:00",61424,19052,2023-01-26 21:40:26,2023-01-26 21:48:14
forth/usdt,2021-04-23 09:00:00,2023-01-01 00:00:00,"617 days, 15:00:00",65572,19017,2023-01-26 21:41:11,2023-01-26 21:46:42
nkn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91180,18978,2023-01-26 21:42:18,2023-01-26 21:48:06
psg/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",83403,18678,2023-01-26 21:45:59,2023-01-26 21:51:51
mir/usdt,2021-04-19 11:00:00,2022-12-27 02:59:00,"616 days, 15:59:00",58609,18660,2023-01-26 21:46:18,2023-01-26 21:46:19
chr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",123916,18638,2023-01-26 21:46:20,2023-01-26 21:51:48
one/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",123289,18485,2023-01-26 21:46:45,2023-01-26 21:52:46
luna/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",94262,18446,2023-01-26 21:48:09,2023-01-26 21:55:46
mft/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",108228,18408,2023-01-26 21:48:17,2023-01-26 21:48:55
matic/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",120267,18257,2023-01-26 21:48:56,2023-01-26 21:55:16
data/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",94019,18235,2023-01-26 21:51:54,2023-01-26 21:59:38
nmr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",65414,18020,2023-01-26 21:52:49,2023-01-26 21:58:41
stmx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",109078,17995,2023-01-26 21:55:19,2023-01-26 22:00:56
fis/usdt,2021-03-03 08:00:00,2023-01-01 00:00:00,"668 days, 16:00:00",77297,17971,2023-01-26 21:55:49,2023-01-26 22:04:33
pnt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96451,17969,2023-01-26 21:58:44,2023-01-26 22:05:06
celr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",136363,17827,2023-01-26 21:59:14,2023-01-26 22:04:57
perl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101265,17717,2023-01-26 21:59:41,2023-01-26 22:05:44
lto/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96552,17556,2023-01-26 22:00:59,2023-01-26 22:06:55
super/usdt,2021-03-25 10:00:00,2023-01-01 00:00:00,"646 days, 14:00:00",116002,17518,2023-01-26 22:04:35,2023-01-26 22:10:11
ogn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",119195,17480,2023-01-26 22:05:00,2023-01-26 22:10:35
lazio/usdt,2021-10-21 12:00:00,2023-01-01 00:00:00,"436 days, 12:00:00",65576,17302,2023-01-26 22:05:09,2023-01-26 22:11:20
ong/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",76537,17291,2023-01-26 22:05:48,2023-01-26 22:11:37
win/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103080,17151,2023-01-26 22:06:58,2023-01-26 22:13:34
nbs/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",75155,17142,2023-01-26 22:10:14,2023-01-26 22:10:16
aion/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93549,17091,2023-01-26 22:10:17,2023-01-26 22:16:32
tru/usdt,2021-01-19 07:00:00,2023-01-01 00:00:00,"711 days, 17:00:00",82599,17069,2023-01-26 22:10:38,2023-01-26 22:16:16
nuls/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81729,17010,2023-01-26 22:11:23,2023-01-26 22:17:04
beam/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92766,16912,2023-01-26 22:11:40,2023-01-26 22:17:57
pond/usdt,2021-03-09 08:00:00,2023-01-01 00:00:00,"662 days, 16:00:00",88360,16907,2023-01-26 22:13:37,2023-01-26 22:19:52
sand/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",126873,16883,2023-01-26 22:16:19,2023-01-26 22:22:09
unfi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103349,16717,2023-01-26 22:16:35,2023-01-26 22:22:30
lit/usdt,2021-02-04 06:00:00,2023-01-01 00:00:00,"695 days, 18:00:00",100836,16674,2023-01-26 22:17:07,2023-01-26 22:23:10
fio/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68459,16671,2023-01-26 22:18:00,2023-01-26 22:23:44
santos/usdt,2021-12-01 11:00:00,2023-01-01 00:00:00,"395 days, 13:00:00",55738,16444,2023-01-26 22:19:55,2023-01-26 22:26:10
nano/usdt,2021-01-01 00:00:00,2022-01-24 03:59:00,"388 days, 3:59:00",79945,16429,2023-01-26 22:22:12,2023-01-26 22:22:14
wtc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92622,16361,2023-01-26 22:22:15,2023-01-26 22:27:41
idex/usdt,2021-09-09 08:00:00,2023-01-01 00:00:00,"478 days, 16:00:00",60514,16180,2023-01-26 22:22:33,2023-01-26 22:28:16
fet/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",142640,15785,2023-01-26 22:23:13,2023-01-26 22:32:08
iotx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87682,15785,2023-01-26 22:23:47,2023-01-26 22:30:02
chz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104487,15626,2023-01-26 22:26:13,2023-01-26 22:32:26
cos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97252,15577,2023-01-26 22:27:44,2023-01-26 22:33:31
shib/usdt,2021-05-10 11:00:00,2023-01-01 00:00:00,"600 days, 13:00:00",77918,15373,2023-01-26 22:28:19,2023-01-26 22:34:44
om/usdt,2021-03-08 09:00:00,2023-01-01 00:00:00,"663 days, 15:00:00",62999,15320,2023-01-26 22:30:05,2023-01-26 22:36:06
dexe/usdt,2021-07-23 10:00:00,2023-01-01 00:00:00,"526 days, 14:00:00",48696,15302,2023-01-26 22:32:10,2023-01-26 22:38:01
req/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",47569,15199,2023-01-26 22:32:29,2023-01-26 22:38:54
