pair,0.01,0.02
cocos/usdt,130561,26282
gto/usdt,96851,24449
doge/usdt,83890,24236
mith/usdt,107724,22378
ctxc/usdt,75889,21027
dent/usdt,115960,20616
vtho/usdt,105217,20403
key/usdt,103067,19804
ftm/usdt,122382,19457
hot/usdt,103369,19254
ctsi/usdt,109033,18726
wrx/usdt,97265,18053
xvs/usdt,98152,17039
chr/usdt,108988,16984
matic/usdt,101640,16944
mdt/usdt,81652,16884
one/usdt,107419,16836
vite/usdt,78246,16733
nkn/usdt,77724,16642
stmx/usdt,98870,16385
og/usdt,71359,15924
stpt/usdt,74709,15717
win/usdt,96272,15683
celr/usdt,119710,15602
drep/usdt,75132,15600
tct/usdt,81232,15595
sand/usdt,111202,15571
mbl/usdt,73745,15221
hive/usdt,67539,15204
data/usdt,80508,15108
iotx/usdt,76019,14623
dnt/usdt,56522,14526
ong/usdt,64462,13997
pnt/usdt,79635,13997
chz/usdt,86042,13913
troy/usdt,88041,13861
psg/usdt,62525,13696
juv/usdt,54048,13637
fio/usdt,57370,13456
mana/usdt,87224,13248
mft/usdt,84186,12823
ogn/usdt,92429,12758
perl/usdt,81794,12582
enj/usdt,91476,12074
coti/usdt,107537,12063
cos/usdt,81913,12018
mtl/usdt,63693,11946
tfuel/usdt,81104,11810
iris/usdt,78726,11743
hbar/usdt,82510,11733
wtc/usdt,76132,11706
reef/usdt,90743,11673
storj/usdt,65750,11252
lto/usdt,75360,11227
utk/usdt,81910,11134
fet/usdt,118223,11120
rose/usdt,76748,10888
nbs/usdt,53710,10769
lrc/usdt,68276,10744
beam/usdt,72957,10546
sc/usdt,71994,10365
iost/usdt,68028,10364
rvn/usdt,58097,10353
nuls/usdt,56192,10343
unfi/usdt,71511,10286
dock/usdt,67661,10255
zen/usdt,65914,10207
fun/usdt,46328,10155
cvc/usdt,57187,10032
lsk/usdt,60094,9803
rlc/usdt,69285,9763
wing/usdt,62809,9669
blz/usdt,76446,9180
nmr/usdt,40571,8684
oxt/usdt,45682,8652
sxp/usdt,76112,8630
grt/usdt,66143,8351
hard/usdt,49306,8316
vet/usdt,68775,8231
dusk/usdt,54887,8195
orn/usdt,74993,7899
strax/usdt,61523,7637
sol/usdt,64552,7483
qtum/usdt,55206,7431
trb/usdt,65657,7318
skl/usdt,61047,7308
crv/usdt,71739,7300
dia/usdt,82829,7257
xrp/usdt,49941,7140
rune/usdt,74857,7131
kmd/usdt,46066,7054
hnt/usdt,65487,7020
ctk/usdt,57941,7012
icx/usdt,64054,6967
rep/usdt,44801,6907
dgb/usdt,56522,6891
bts/usdt,47082,6803
ksm/usdt,58843,6592
uma/usdt,38020,6498
etc/usdt,46569,6475
srm/usdt,63160,6437
wan/usdt,54495,6354
tomo/usdt,58119,6323
zrx/usdt,42766,6304
flm/usdt,58268,6227
stx/usdt,42146,6133
luna/usdt,49333,6071
egld/usdt,49943,6014
sushi/usdt,58505,5913
inj/usdt,42586,5796
xlm/usdt,43892,5674
waves/usdt,43735,5653
near/usdt,52862,5579
xem/usdt,40533,5567
wnxm/usdt,34127,5551
iota/usdt,51670,5380
kava/usdt,54206,5357
sun/usdt,39904,5271
ren/usdt,53229,5195
zil/usdt,46983,5149
mkr/usdt,37040,5055
bel/usdt,58049,5018
ont/usdt,43637,4975
omg/usdt,51969,4504
knc/usdt,40640,4434
zec/usdt,32638,4366
snx/usdt,45384,4340
neo/usdt,37746,4334
bnb/usdt,30153,4191
theta/usdt,49586,4070
dot/usdt,39360,4013
yfi/usdt,34218,3941
dash/usdt,30253,3775
ocean/usdt,42918,3743
uni/usdt,41228,3693
eos/usdt,35624,3554
fil/usdt,28944,3512
xtz/usdt,44181,3380
yfii/usdt,29874,3345
jst/usdt,31066,3231
comp/usdt,31908,2969
bch/usdt,26982,2661
link/usdt,31489,2585
ltc/usdt,25832,2454
dcr/usdt,21745,2149
eth/usdt,16860,1865
xmr/usdt,18680,1832
bnt/usdt,15747,1829
ftt/usdt,13053,1411
trx/usdt,20459,1204
btc/usdt,7911,969
paxg/usdt,275,19
